Attrition,Age,Department,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
No,50,Research & Development,905,Male,98,4,Divorced,1,11,3,1,31,3,3,31,6,14
No,39,Human Resources,909,Female,42,2,Married,8,11,3,2,13,2,3,5,4,0
No,33,Human Resources,910,Male,57,1,Divorced,3,11,3,1,7,4,4,4,3,0
Yes,32,Research & Development,911,Male,87,1,Single,1,24,4,0,1,2,1,1,0,0
No,29,Research & Development,912,Female,62,1,Divorced,6,14,3,3,8,5,3,4,3,0
No,44,Research & Development,913,Male,61,1,Married,1,13,3,0,8,0,3,8,7,7
No,28,Sales,916,Male,98,2,Single,1,14,3,0,4,3,3,4,2,0
Yes,58,Research & Development,918,Male,57,1,Divorced,9,14,3,1,3,3,2,1,0,0
No,43,Research & Development,920,Female,55,2,Divorced,4,21,4,1,4,2,4,1,0,0
Yes,20,Sales,922,Female,49,1,Single,1,13,3,0,2,3,2,2,2,0
Yes,21,Research & Development,923,Female,65,1,Single,1,19,3,0,1,3,2,1,0,0
No,36,Research & Development,924,Male,68,2,Married,0,17,3,1,17,2,2,16,8,4
No,47,Sales,925,Female,65,1,Single,1,18,3,0,3,3,2,3,2,1
Yes,22,Research & Development,926,Female,34,2,Married,0,19,3,1,4,3,4,3,2,0
Yes,41,Research & Development,927,Female,57,1,Divorced,4,13,3,1,10,1,2,7,7,1
No,28,Research & Development,930,Female,77,1,Divorced,5,18,3,1,6,2,3,2,2,2
Yes,39,Research & Development,932,Male,70,1,Married,7,21,4,0,8,2,1,2,2,2
No,27,Research & Development,933,Female,76,1,Single,1,19,3,0,1,2,3,1,1,0
No,34,Research & Development,934,Male,83,1,Divorced,1,14,3,2,1,3,3,1,0,1
No,42,Sales,936,Female,68,2,Single,7,17,3,0,10,6,3,5,4,0
No,33,Research & Development,939,Male,100,1,Single,3,11,3,0,6,1,3,3,2,0
No,58,Research & Development,940,Female,37,3,Divorced,2,13,3,1,24,3,3,6,0,0
No,31,Sales,941,Male,41,1,Married,3,15,3,0,13,2,4,7,7,5
No,35,Research & Development,942,Female,51,2,Married,1,25,4,1,10,2,1,10,6,0
No,49,Research & Development,944,Female,51,3,Married,4,11,3,1,29,3,2,26,9,1
No,48,Research & Development,945,Male,51,1,Married,4,17,3,2,13,2,2,0,0,0
No,31,Sales,947,Female,45,2,Married,1,13,3,1,9,2,2,9,8,0
No,36,Research & Development,949,Male,65,1,Single,2,18,3,0,8,6,3,6,2,0
No,38,Research & Development,950,Female,80,3,Married,1,13,3,1,15,3,3,15,12,5
No,32,Research & Development,951,Female,70,1,Married,6,20,4,0,5,3,3,3,0,0
Yes,25,Sales,952,Male,36,1,Married,1,18,3,3,1,2,3,1,0,0
No,40,Sales,954,Male,67,3,Divorced,2,12,3,1,11,2,2,1,0,0
No,26,Sales,956,Male,52,2,Single,1,12,3,0,7,2,3,7,7,0
No,41,Research & Development,957,Male,59,1,Single,2,13,3,0,20,3,3,18,13,2
No,36,Research & Development,958,Male,79,1,Single,4,21,4,0,16,6,3,11,8,3
Yes,19,Sales,959,Male,37,1,Single,1,13,3,0,1,3,4,1,0,0
Yes,20,Research & Development,960,Male,84,1,Single,1,19,3,0,1,2,3,1,0,0
No,31,Research & Development,961,Female,41,2,Married,0,11,3,2,10,2,1,9,7,8
No,40,Research & Development,964,Male,35,1,Divorced,8,14,3,1,3,2,3,1,1,0
No,32,Research & Development,966,Female,93,2,Married,1,12,3,1,8,2,4,8,7,6
Yes,36,Sales,967,Male,51,3,Married,1,11,3,1,16,6,3,16,7,3
No,33,Research & Development,969,Female,42,2,Single,0,14,3,0,6,3,3,5,0,1
Yes,37,Sales,970,Male,46,3,Married,5,11,3,0,17,2,1,14,1,11
No,45,Research & Development,972,Male,57,2,Married,1,12,3,0,9,5,2,9,7,0
No,29,Sales,974,Female,84,1,Married,1,15,3,1,3,5,3,3,1,0
No,35,Sales,975,Female,86,2,Married,1,16,3,0,5,3,3,5,2,1
No,52,Research & Development,976,Male,70,4,Married,2,15,3,1,26,2,2,9,8,7
Yes,58,Research & Development,977,Male,51,1,Single,4,24,4,0,7,4,3,1,0,0
No,53,Sales,981,Male,45,4,Divorced,6,13,3,1,22,3,4,17,13,15
No,30,Sales,982,Male,62,3,Divorced,5,11,3,1,10,2,4,8,4,7
No,38,Sales,983,Female,85,2,Single,1,13,3,0,6,1,3,5,3,1
No,35,Sales,984,Male,92,3,Divorced,6,13,3,1,12,2,3,10,9,0
No,39,Sales,985,Male,41,3,Single,0,18,3,0,9,3,3,8,7,0
Yes,40,Sales,986,Female,100,4,Single,4,16,3,0,22,2,2,1,0,0
No,47,Research & Development,987,Male,64,2,Divorced,1,19,3,0,20,3,4,19,10,2
No,36,Sales,990,Male,84,2,Divorced,4,13,3,2,12,3,3,7,7,0
Yes,31,Research & Development,991,Male,46,1,Single,0,22,4,0,4,0,3,3,2,1
No,33,Sales,992,Male,38,4,Single,1,11,3,0,10,2,3,10,8,6
Yes,29,Research & Development,994,Female,92,1,Single,6,20,4,0,3,5,3,0,0,0
No,33,Research & Development,995,Female,53,1,Single,3,18,3,0,5,4,3,3,2,0
No,45,Research & Development,996,Female,91,1,Divorced,3,14,3,2,8,2,3,5,3,0
No,50,Research & Development,997,Male,66,4,Divorced,9,22,4,1,32,1,2,5,4,1
No,33,Research & Development,998,Female,84,2,Married,1,13,3,1,6,2,3,6,5,1
No,41,Research & Development,999,Male,64,5,Divorced,2,17,3,1,21,2,4,18,16,0
No,27,Research & Development,1001,Female,37,1,Married,9,14,3,1,4,2,3,2,2,2
No,45,Research & Development,1002,Male,42,2,Married,1,15,3,1,9,2,3,9,8,0
No,47,Sales,1003,Female,83,2,Single,1,17,3,0,9,0,3,9,0,0
Yes,30,Research & Development,1004,Female,48,1,Married,4,11,3,0,7,2,3,5,2,0
No,50,Research & Development,1005,Male,95,4,Married,3,18,3,1,22,2,3,12,11,1
No,38,Research & Development,1006,Male,66,1,Married,0,17,3,1,3,0,2,2,1,0
No,46,Research & Development,1007,Male,75,3,Divorced,6,13,3,1,13,3,3,8,7,0
No,24,Research & Development,1009,Female,41,2,Divorced,1,15,3,2,5,6,3,4,2,3
Yes,35,Research & Development,1010,Male,39,1,Divorced,1,24,4,1,5,2,1,4,2,0
No,31,Research & Development,1011,Female,96,2,Married,1,12,3,1,4,1,3,4,3,0
No,18,Research & Development,1012,Male,73,1,Single,1,15,3,0,0,2,3,0,0,0
No,54,Research & Development,1013,Female,56,3,Married,8,11,3,1,22,2,3,10,7,0
No,35,Research & Development,1014,Female,57,3,Divorced,1,11,3,1,16,3,2,16,10,10
No,30,Research & Development,1015,Female,73,3,Married,0,12,3,3,9,4,2,8,7,1
Yes,20,Research & Development,1016,Female,98,1,Single,1,15,3,0,1,2,3,1,0,0
Yes,30,Research & Development,1017,Female,60,1,Single,0,17,3,0,4,3,3,3,2,1
No,26,Research & Development,1018,Male,32,2,Married,1,12,3,0,8,2,3,8,7,1
No,22,Research & Development,1019,Male,94,1,Married,1,15,3,1,4,3,2,4,3,1
No,48,Research & Development,1022,Male,97,2,Single,2,13,3,0,19,0,3,2,2,2
No,48,Research & Development,1024,Male,78,3,Single,7,14,3,0,27,3,3,15,11,4
No,41,Research & Development,1025,Female,42,2,Single,6,14,3,0,8,6,3,2,2,2
No,39,Research & Development,1026,Female,65,4,Married,1,16,3,1,21,3,3,21,6,11
No,27,Research & Development,1027,Female,47,2,Married,0,18,3,1,4,2,3,3,2,2
No,35,Research & Development,1028,Male,45,1,Divorced,1,20,4,1,3,4,2,3,2,1
No,42,Sales,1029,Male,90,5,Married,6,13,3,0,21,3,4,1,0,0
No,50,Research & Development,1030,Male,64,1,Married,4,18,3,0,8,5,3,1,0,0
No,59,Research & Development,1032,Female,69,4,Single,3,13,3,0,30,4,3,5,3,4
Yes,37,Research & Development,1033,Female,61,2,Married,5,15,3,0,15,2,1,1,0,0
No,55,Research & Development,1034,Male,62,2,Married,3,14,3,2,17,3,3,8,7,6
No,41,Research & Development,1035,Female,55,5,Divorced,1,22,4,2,21,3,3,21,16,5
No,38,Sales,1036,Male,42,2,Single,8,12,3,0,19,1,3,1,0,0
Yes,26,Sales,1037,Male,79,2,Single,8,18,3,0,7,6,3,2,2,2
Yes,52,Sales,1038,Female,57,5,Married,1,15,3,1,33,3,3,32,14,6
No,44,Sales,1039,Female,53,4,Married,3,18,3,1,23,2,3,12,11,11
No,50,Sales,1040,Female,95,2,Married,0,12,3,1,19,3,3,18,7,0
Yes,36,Research & Development,1042,Female,43,1,Single,1,16,3,0,18,1,3,17,13,15
No,39,Research & Development,1043,Female,82,3,Single,1,13,3,0,21,2,3,21,6,2
No,33,Sales,1044,Female,88,1,Single,0,19,3,0,3,2,2,2,2,2
No,45,Sales,1045,Female,90,4,Married,3,13,3,1,26,4,4,9,3,1
No,32,Research & Development,1046,Female,69,1,Single,9,12,3,0,10,2,3,8,7,7
No,34,Sales,1047,Male,75,2,Divorced,0,11,3,1,16,2,2,15,1,0
No,59,Sales,1048,Male,66,3,Married,3,14,3,1,14,1,1,6,4,0
No,45,Human Resources,1049,Male,36,1,Single,1,16,3,0,6,3,3,6,3,0
No,53,Sales,1050,Female,38,3,Married,2,12,3,1,30,2,3,15,7,6
Yes,36,Research & Development,1052,Male,81,2,Divorced,7,14,3,1,9,3,2,1,0,0
Yes,26,Research & Development,1053,Male,57,1,Married,6,14,3,1,6,2,3,3,2,1
No,34,Sales,1055,Female,87,1,Married,1,19,3,1,1,2,3,1,1,0
No,28,Sales,1056,Male,74,1,Married,1,22,4,0,1,5,3,1,0,0
No,38,Research & Development,1060,Male,44,1,Married,3,16,3,1,8,2,3,2,2,2
No,50,Research & Development,1061,Male,62,5,Married,2,11,3,1,29,2,2,8,1,7
No,37,Research & Development,1062,Female,35,2,Single,3,15,3,0,8,3,2,4,3,0
No,40,Sales,1066,Male,74,2,Married,1,14,3,1,8,3,2,7,7,7
No,26,Research & Development,1068,Female,66,1,Divorced,1,13,3,2,5,5,3,5,3,1
No,46,Research & Development,1069,Male,40,5,Divorced,9,17,3,2,23,0,3,2,2,2
No,54,Sales,1070,Female,41,3,Married,6,11,3,1,13,4,3,9,4,7
No,56,Research & Development,1071,Female,63,1,Married,2,19,3,1,18,4,3,5,4,0
No,36,Research & Development,1073,Female,51,3,Single,0,11,3,0,15,2,2,14,8,7
No,55,Research & Development,1074,Male,40,4,Single,7,15,3,0,31,3,4,9,7,6
No,43,Sales,1076,Male,79,3,Divorced,5,13,3,1,18,5,3,1,0,0
Yes,20,Sales,1077,Female,54,1,Single,1,14,3,0,2,3,3,2,2,0
Yes,21,Research & Development,1079,Female,36,1,Single,1,13,3,0,1,6,2,1,0,1
No,46,Research & Development,1080,Female,74,2,Divorced,8,23,4,3,19,2,3,16,13,1
Yes,51,Research & Development,1081,Male,34,1,Married,9,12,3,3,18,2,4,10,0,2
Yes,28,Research & Development,1082,Male,72,3,Single,1,12,3,0,10,2,2,10,7,1
No,26,Research & Development,1083,Male,59,1,Married,1,16,3,2,6,2,3,5,3,1
No,30,Research & Development,1084,Male,85,2,Married,0,15,3,1,7,1,2,6,2,0
No,41,Research & Development,1085,Female,43,1,Married,1,13,3,0,10,3,3,10,6,0
No,38,Research & Development,1088,Female,65,3,Married,0,18,3,1,20,4,2,19,9,1
No,40,Research & Development,1092,Male,61,3,Married,4,20,4,1,14,6,3,11,10,11
No,27,Research & Development,1094,Male,87,1,Married,1,19,3,3,3,4,3,3,2,1
No,55,Research & Development,1096,Male,65,3,Married,3,18,3,1,23,4,3,3,2,1
No,28,Research & Development,1097,Female,59,2,Single,3,13,3,0,10,4,4,8,7,1
Yes,44,Human Resources,1098,Male,91,3,Married,9,14,3,1,24,1,3,20,6,3
No,33,Research & Development,1099,Male,34,3,Divorced,4,15,3,1,9,2,3,3,2,1
Yes,35,Sales,1100,Male,86,3,Single,0,22,4,0,9,2,3,8,7,4
Yes,33,Research & Development,1101,Female,54,2,Single,1,22,4,0,14,4,3,13,7,3
No,28,Research & Development,1102,Male,50,1,Divorced,1,16,3,1,4,5,2,4,2,2
No,34,Research & Development,1103,Male,45,2,Single,0,17,3,0,7,1,2,6,2,0
No,37,Sales,1105,Female,88,2,Divorced,2,14,3,3,8,5,3,1,0,0
Yes,25,Research & Development,1106,Male,32,1,Married,1,15,3,1,7,3,4,7,7,5
Yes,26,Research & Development,1107,Male,37,1,Divorced,1,20,4,1,1,0,2,1,1,0
Yes,33,Research & Development,1108,Male,55,1,Single,4,20,4,0,5,0,3,2,2,2
No,42,Research & Development,1109,Male,35,4,Married,0,17,3,1,23,3,3,22,6,13
Yes,28,Research & Development,1111,Male,45,1,Divorced,1,15,3,2,1,2,3,1,0,0
Yes,50,Sales,1113,Male,81,2,Single,3,14,3,0,5,4,3,0,0,0
No,33,Sales,1114,Female,30,2,Married,0,17,3,1,4,3,3,3,2,0
No,34,Research & Development,1115,Male,40,1,Married,3,17,3,3,6,2,3,0,0,0
No,48,Research & Development,1116,Male,35,4,Single,2,22,4,0,27,3,2,5,4,2
No,45,Sales,1117,Female,65,2,Married,1,13,3,1,15,2,3,15,10,4
No,52,Research & Development,1118,Male,87,3,Single,7,19,3,0,18,4,3,8,6,4
No,38,Sales,1119,Male,73,3,Divorced,0,14,3,2,9,2,3,8,7,2
No,29,Research & Development,1120,Female,93,1,Divorced,4,22,4,1,11,1,3,7,5,1
No,28,Research & Development,1121,Female,93,3,Divorced,0,17,3,3,10,3,2,9,7,1
No,46,Sales,1124,Male,52,4,Married,3,12,3,1,23,3,3,12,9,4
No,38,Sales,1125,Male,32,3,Single,7,16,3,0,10,2,3,1,0,0
No,43,Research & Development,1126,Female,83,3,Married,8,11,3,1,18,1,3,8,7,0
Yes,39,Research & Development,1127,Male,84,4,Divorced,7,11,3,3,21,4,3,18,7,11
No,40,Research & Development,1128,Male,44,5,Single,1,14,3,0,21,2,4,20,7,4
No,21,Research & Development,1131,Female,70,1,Single,1,11,3,0,2,6,4,2,2,2
No,39,Research & Development,1132,Male,70,2,Single,9,15,3,0,9,2,2,5,4,0
No,36,Research & Development,1133,Male,78,2,Single,2,20,4,0,18,0,3,11,9,0
No,31,Sales,1135,Male,67,1,Married,0,12,3,1,3,4,3,2,2,2
No,28,Research & Development,1136,Male,67,1,Married,0,17,3,0,6,2,1,5,3,0
No,35,Sales,1137,Male,54,2,Divorced,1,11,3,1,5,3,3,5,2,0
No,49,Sales,1138,Male,56,4,Married,6,17,3,1,22,3,3,9,8,2
No,34,Research & Development,1140,Male,95,2,Single,2,11,3,0,5,3,2,3,2,0
No,29,Research & Development,1143,Female,61,1,Divorced,0,14,3,2,8,2,2,7,5,1
No,42,Research & Development,1148,Male,56,2,Single,4,19,3,0,16,3,3,1,0,0
No,29,Research & Development,1150,Male,79,2,Married,1,15,3,1,10,2,2,10,7,1
No,38,Human Resources,1152,Male,37,1,Married,1,13,3,1,7,2,4,7,6,5
No,28,Research & Development,1154,Male,39,1,Divorced,1,14,3,1,3,2,3,3,1,0
Yes,18,Research & Development,1156,Male,80,1,Single,1,12,3,0,0,0,3,0,0,0
Yes,33,Sales,1157,Female,77,2,Single,0,17,3,0,6,3,3,5,2,0
No,41,Research & Development,1158,Male,46,1,Married,3,11,3,1,6,4,3,1,0,0
Yes,31,Research & Development,1160,Male,72,1,Married,1,12,3,1,2,5,2,2,2,2
No,37,Research & Development,1161,Female,52,2,Divorced,7,13,3,2,9,2,3,6,2,1
No,27,Research & Development,1162,Male,55,1,Married,1,13,3,1,4,0,3,4,2,2
No,34,Sales,1163,Female,70,2,Married,1,20,4,0,6,3,2,6,5,1
No,35,Human Resources,1164,Male,100,1,Single,1,17,3,0,6,2,1,5,4,1
Yes,29,Sales,1165,Female,45,3,Married,1,13,3,1,11,3,1,11,8,3
No,40,Research & Development,1166,Female,88,3,Single,9,17,3,0,20,3,2,18,7,2
Yes,42,Sales,1167,Male,44,4,Single,0,12,3,0,22,2,2,21,9,13
No,42,Sales,1171,Male,45,2,Single,7,13,3,0,9,3,4,6,4,1
No,35,Research & Development,1172,Male,58,1,Married,6,12,3,1,10,2,3,8,0,1
No,24,Research & Development,1173,Male,49,1,Single,8,22,4,0,6,2,3,4,3,1
Yes,28,Research & Development,1175,Female,79,1,Married,1,11,3,0,1,4,2,1,1,0
No,26,Research & Development,1177,Male,82,1,Married,1,22,4,1,8,2,3,8,7,0
No,30,Sales,1179,Male,72,2,Married,1,18,3,1,10,3,3,10,3,1
No,40,Research & Development,1180,Female,92,2,Married,3,13,3,1,16,3,1,1,1,0
No,35,Research & Development,1182,Male,44,3,Divorced,2,18,3,1,15,2,4,7,7,6
No,34,Research & Development,1184,Male,97,2,Single,0,20,4,0,14,3,3,13,9,4
No,35,Research & Development,1185,Male,47,1,Married,1,13,3,1,2,2,4,2,2,2
Yes,43,Sales,1188,Female,85,2,Single,8,13,3,0,7,2,2,4,3,1
No,32,Sales,1190,Female,76,1,Divorced,1,12,3,3,1,3,3,1,0,0
No,56,Research & Development,1191,Female,92,5,Divorced,4,13,3,1,28,2,3,5,2,4
No,29,Research & Development,1192,Female,54,1,Married,1,13,3,1,10,5,3,10,8,0
No,19,Research & Development,1193,Male,54,1,Single,1,25,4,0,1,4,3,1,1,0
No,45,Research & Development,1195,Female,83,1,Married,4,19,3,1,7,2,2,3,2,0
No,37,Research & Development,1196,Female,56,2,Married,1,13,3,1,14,2,2,14,8,3
No,20,Research & Development,1198,Male,87,1,Single,1,12,3,0,2,2,2,2,2,1
Yes,44,Research & Development,1200,Male,96,1,Single,1,11,3,0,6,4,3,6,4,0
No,53,Research & Development,1201,Female,50,5,Divorced,3,18,3,1,26,6,3,7,7,4
No,29,Research & Development,1202,Female,69,1,Married,0,18,3,1,6,2,2,5,4,1
Yes,22,Research & Development,1203,Male,48,1,Married,0,11,3,1,1,5,3,0,0,0
No,46,Sales,1204,Female,69,4,Married,8,23,4,0,28,2,3,26,15,15
No,44,Research & Development,1206,Male,74,1,Single,2,13,3,0,6,3,3,0,0,0
No,33,Human Resources,1207,Male,99,1,Married,1,13,3,1,5,2,3,5,4,1
Yes,41,Research & Development,1210,Male,95,1,Divorced,6,17,3,1,5,2,1,1,0,0
No,30,Sales,1211,Male,61,2,Divorced,8,19,3,3,8,3,3,4,3,0
No,40,Sales,1212,Male,62,2,Married,5,12,3,3,5,2,3,0,0,0
No,50,Research & Development,1215,Female,30,4,Married,2,22,4,1,32,3,3,2,2,2
No,28,Research & Development,1216,Male,78,1,Married,1,12,3,3,6,2,3,6,5,3
No,46,Research & Development,1217,Male,52,5,Married,5,11,3,1,25,2,3,4,2,0
No,35,Sales,1218,Male,94,2,Married,3,15,3,3,15,2,3,7,7,1
Yes,24,Research & Development,1219,Female,97,1,Married,1,13,3,1,1,3,1,1,0,0
No,33,Sales,1220,Female,82,2,Married,1,12,3,1,10,3,2,10,7,0
No,36,Research & Development,1221,Male,60,1,Divorced,1,14,3,1,7,4,3,7,7,1
No,30,Research & Development,1224,Male,49,2,Divorced,1,13,3,3,10,4,2,10,7,8
No,44,Research & Development,1225,Male,32,2,Single,1,25,4,0,20,3,3,20,11,13
No,20,Sales,1226,Male,43,1,Single,1,17,3,0,2,2,3,2,1,2
No,46,Research & Development,1228,Male,60,2,Divorced,2,11,3,1,12,3,2,6,3,1
No,42,Human Resources,1231,Male,79,2,Married,7,16,3,1,10,3,4,4,3,0
No,60,Sales,1233,Male,52,2,Divorced,0,18,3,1,12,3,3,11,7,1
No,32,Research & Development,1234,Female,77,1,Married,1,20,4,1,2,2,3,2,2,2
No,32,Research & Development,1235,Female,38,2,Single,4,14,3,0,10,2,3,8,7,0
No,36,Research & Development,1237,Female,77,3,Divorced,2,21,4,1,17,2,3,7,7,7
No,33,Research & Development,1238,Male,60,1,Married,0,13,3,1,15,5,3,14,10,4
No,40,Sales,1239,Female,84,2,Divorced,7,12,3,1,7,2,4,5,1,1
No,25,Sales,1240,Male,57,2,Single,0,14,3,0,5,4,3,4,3,1
No,30,Research & Development,1241,Male,63,1,Married,0,21,4,1,12,2,3,11,9,5
No,42,Research & Development,1242,Female,60,3,Married,3,17,3,0,20,6,3,1,0,0
No,35,Sales,1243,Female,78,3,Married,4,11,3,1,16,6,2,13,2,4
No,27,Research & Development,1244,Male,42,1,Married,1,14,3,2,9,3,2,9,7,6
No,54,Research & Development,1245,Female,53,3,Divorced,7,17,3,1,33,2,1,5,4,1
No,44,Research & Development,1246,Female,72,1,Married,1,13,3,1,10,5,3,10,5,7
Yes,19,Research & Development,1248,Female,96,1,Single,1,25,4,0,1,2,4,1,1,0
No,29,Research & Development,1249,Female,97,1,Divorced,1,15,3,3,3,5,3,3,2,1
No,54,Research & Development,1250,Male,85,4,Married,3,14,3,0,36,2,3,10,9,0
No,31,Research & Development,1251,Male,80,2,Married,1,12,3,0,6,2,2,6,5,0
No,31,Research & Development,1252,Female,96,2,Single,1,19,3,0,10,2,3,10,9,1
No,59,Sales,1254,Female,48,2,Single,5,17,3,0,13,2,3,6,1,0
No,43,Research & Development,1255,Male,96,5,Married,3,14,3,1,25,2,3,8,7,0
No,49,Research & Development,1256,Male,85,5,Married,2,13,3,1,23,2,4,1,0,0
No,36,Research & Development,1257,Male,46,1,Married,1,12,3,0,12,2,2,11,10,0
No,48,Research & Development,1258,Male,76,1,Single,5,11,3,0,7,4,2,1,0,0
No,27,Research & Development,1259,Male,76,1,Divorced,1,11,3,3,5,2,3,5,3,0
No,29,Research & Development,1260,Male,82,2,Divorced,1,11,3,2,6,2,3,6,0,1
No,48,Research & Development,1263,Male,76,5,Single,6,12,3,0,25,3,4,1,0,0
No,29,Research & Development,1264,Female,87,4,Divorced,3,14,3,2,9,2,2,7,7,1
No,34,Research & Development,1265,Female,89,1,Married,0,17,3,0,2,5,2,1,0,0
No,44,Sales,1267,Male,88,5,Married,7,11,3,1,26,5,3,22,9,3
No,33,Sales,1268,Male,82,3,Divorced,0,14,3,2,10,3,3,9,8,0
No,19,Research & Development,1269,Female,57,1,Single,1,12,3,0,1,2,3,1,0,0
No,23,Research & Development,1270,Male,47,1,Married,1,22,4,1,1,2,3,1,0,0
Yes,25,Sales,1273,Male,73,1,Single,1,14,3,0,1,4,3,1,0,1
No,26,Research & Development,1275,Male,53,1,Single,1,20,4,0,8,2,2,8,5,2
Yes,45,Sales,1277,Female,94,5,Single,2,16,3,0,26,2,3,24,10,1
No,55,Research & Development,1278,Male,37,4,Divorced,1,15,3,1,34,3,3,33,9,15
Yes,21,Research & Development,1279,Female,45,1,Single,1,20,4,0,2,2,1,2,2,2
No,46,Sales,1280,Female,33,5,Married,2,14,3,1,26,2,3,11,4,0
No,34,Sales,1281,Female,86,2,Single,0,12,3,0,4,3,3,3,2,0
No,51,Sales,1282,Male,83,5,Divorced,4,24,4,1,31,5,2,29,10,11
No,59,Research & Development,1283,Male,67,3,Single,6,12,3,0,25,6,2,9,7,5
No,34,Research & Development,1285,Female,46,2,Divorced,4,13,3,2,15,2,4,11,8,5
No,28,Research & Development,1286,Male,44,1,Single,0,11,3,0,5,2,2,4,2,0
No,44,Research & Development,1288,Male,92,5,Divorced,1,14,3,2,26,4,2,25,9,14
No,34,Human Resources,1289,Male,56,2,Married,4,11,3,2,14,5,4,10,9,1
No,35,Research & Development,1291,Male,66,1,Married,0,14,3,0,4,3,3,3,2,2
No,42,Research & Development,1292,Female,78,2,Married,6,16,3,0,18,2,3,1,0,0
No,43,Sales,1293,Female,56,3,Single,3,14,3,0,23,3,4,21,7,15
No,36,Research & Development,1294,Female,53,2,Single,9,11,3,0,18,2,3,16,14,5
Yes,44,Research & Development,1295,Female,73,3,Married,1,11,3,1,10,2,3,10,7,0
No,28,Research & Development,1296,Male,52,1,Married,1,12,3,1,2,2,3,2,2,2
No,51,Research & Development,1297,Female,40,1,Single,0,14,3,0,8,6,2,7,0,7
No,30,Research & Development,1298,Female,72,2,Single,7,18,3,0,10,3,3,8,4,1
Yes,29,Research & Development,1299,Female,39,1,Divorced,3,13,3,2,10,2,3,7,7,7
No,28,Research & Development,1301,Male,84,1,Single,2,11,3,0,5,2,2,3,2,1
No,25,Research & Development,1303,Female,40,1,Single,1,18,3,0,2,3,2,2,2,2
No,32,Sales,1304,Male,56,2,Married,1,15,3,2,10,4,4,10,7,0
No,45,Research & Development,1306,Female,83,5,Single,3,22,4,0,22,4,3,0,0,0
No,39,Research & Development,1307,Female,94,4,Divorced,6,13,3,2,21,4,3,19,9,15
No,58,Research & Development,1308,Male,88,1,Divorced,1,12,3,2,2,3,3,2,2,2
Yes,32,Research & Development,1309,Male,79,2,Married,1,18,3,1,10,3,3,10,4,1
Yes,39,Research & Development,1310,Male,93,1,Single,0,13,3,0,6,2,3,5,2,0
No,30,Research & Development,1311,Female,48,2,Married,0,12,3,1,10,6,3,9,2,6
No,36,Research & Development,1312,Female,63,3,Married,3,12,3,0,10,0,3,7,7,1
No,46,Human Resources,1314,Female,44,1,Single,6,12,3,0,10,3,4,7,6,5
No,28,Research & Development,1315,Female,55,2,Married,0,11,3,3,10,6,3,9,8,7
No,50,Research & Development,1317,Female,43,4,Married,4,11,3,0,25,2,3,3,2,1
Yes,40,Sales,1318,Male,57,3,Single,2,12,3,0,9,2,3,5,4,1
Yes,52,Sales,1319,Male,64,3,Single,9,19,3,0,10,2,2,8,7,7
No,30,Research & Development,1321,Female,95,3,Married,1,23,4,2,9,2,3,9,1,0
No,39,Research & Development,1322,Male,32,2,Single,0,11,3,0,9,6,3,8,7,1
No,31,Sales,1324,Female,57,3,Divorced,1,19,3,1,10,5,2,10,8,9
No,41,Sales,1329,Male,40,2,Single,1,13,3,0,19,4,3,19,2,11
Yes,31,Sales,1331,Female,54,1,Single,1,11,3,0,3,2,4,3,2,2
Yes,44,Research & Development,1333,Male,89,1,Married,4,12,3,0,10,4,4,3,2,1
No,42,Research & Development,1334,Male,37,4,Married,0,13,3,0,21,3,2,20,8,2
No,55,Research & Development,1336,Female,58,5,Married,4,14,3,1,23,5,3,19,9,9
No,56,Human Resources,1338,Male,99,5,Single,6,14,3,0,36,4,3,7,3,7
No,40,Research & Development,1340,Male,74,1,Divorced,9,16,3,1,6,0,3,4,2,0
No,34,Research & Development,1344,Male,86,3,Divorced,0,11,3,1,10,0,2,9,7,1
No,40,Research & Development,1346,Male,98,2,Single,1,13,3,0,9,4,3,9,8,8
No,41,Sales,1349,Female,66,2,Divorced,0,17,3,1,10,2,3,9,3,1
No,35,Research & Development,1350,Male,87,2,Single,1,11,3,0,9,3,3,9,6,1
No,51,Human Resources,1352,Male,84,4,Divorced,1,11,3,1,33,2,3,33,9,0
No,38,Sales,1355,Female,31,2,Divorced,3,15,3,1,11,3,3,7,7,1
No,34,Sales,1356,Female,66,2,Single,1,12,3,0,10,6,4,10,8,9
No,25,Research & Development,1358,Male,67,1,Married,3,11,3,3,7,6,2,3,2,1
Yes,58,Research & Development,1360,Female,53,3,Married,7,14,3,0,31,0,2,10,9,5
No,40,Research & Development,1361,Male,88,1,Married,3,22,4,1,7,3,3,4,2,0
No,36,Sales,1362,Female,83,2,Married,2,16,3,1,17,2,2,15,7,6
No,48,Research & Development,1363,Male,54,3,Single,1,11,3,0,11,2,3,10,9,0
No,27,Sales,1364,Female,98,1,Married,8,14,3,1,5,4,3,1,0,0
No,51,Research & Development,1367,Female,82,4,Single,3,16,3,0,29,1,2,5,2,0
No,18,Research & Development,1368,Female,97,1,Single,1,15,3,0,0,5,4,0,0,0
No,35,Research & Development,1369,Female,60,2,Married,0,12,3,1,10,0,3,9,7,0
